Flight Details,Flow Card?,Bags Checked,Meal Type
2024-02-21//PA004//Perth-London//First Class//317,0,0,None
2024-05-01//PA011//Perth-Tokyo//Economy//2780,0,0,Dairy Free
2024-10-22//PA001//London-New York//Premium Economy//952.5,1,1,None
2024-12-24//PA005//London-Tokyo//First Class//244,1,0,Vegetarian
2024-02-01//PA005//London-Tokyo//First Class//586,1,0,Dairy Free
2024-10-10//PA009//New York-Tokyo//Business Class//718.79999999999995,0,0,Vegan
2024-02-20//PA002//New York-London//Premium Economy//1737.5,1,3,Vegan
2024-07-15//PA006//Tokyo-London//Premium Economy//1342.5,1,2,Dairy Free
2024-01-07//PA003//London-Perth//Business Class//462,1,2,None
2024-07-11//PA002//New York-London//First Class//494,1,3,Vegan
2024-07-05//PA007//New York-Perth//Business Class//838.79999999999995,0,1,Nut Free
2024-01-08//PA007//New York-Perth//Economy//2300,1,1,Vegetarian
2024-02-10//PA005//London-Tokyo//Business Class//574.79999999999995,0,1,Vegan
2024-06-09//PA001//London-New York//Premium Economy//1045,0,0,None
2024-02-04//PA005//London-Tokyo//Business Class//328.80000000000001,0,3,Dairy Free
2024-08-19//PA002//New York-London//First Class//213,1,0,Vegetarian
2024-07-12//PA004//Perth-London//Economy//2430,0,3,Egg Free
2024-02-08//PA008//Perth-New York//Business Class//506.39999999999998,0,2,Nut Free
2024-10-21//PA008//Perth-New York//Premium Economy//1677.5,0,1,Vegan
2024-04-20//PA003//London-Perth//Economy//2030,0,2,Vegetarian
2024-06-28//PA009//New York-Tokyo//Economy//2850,1,1,Vegetarian
2024-06-26//PA004//Perth-London//Business Class//632.39999999999998,0,3,None
2024-12-31//PA001//London-New York//First Class//598,0,1,Nut Free
2024-10-24//PA002//New York-London//First Class//691,0,3,Dairy Free
2024-11-23//PA003//London-Perth//First Class//646,1,1,Vegan
2024-06-25//PA009//New York-Tokyo//First Class//224,0,1,Vegan
2024-10-27//PA012//Tokyo-Perth//Premium Economy//1357.5,0,0,Vegan
2024-04-23//PA004//Perth-London//First Class//276,0,3,Dairy Free
2024-08-11//PA012//Tokyo-Perth//Premium Economy//1140,1,2,Egg Free
2024-10-21//PA010//Tokyo-New York//Premium Economy//1125,0,1,None
2024-05-02//PA009//New York-Tokyo//Business Class//706.79999999999995,1,0,Egg Free
2024-03-20//PA005//London-Tokyo//Premium Economy//1577.5,0,3,None
2024-07-18//PA007//New York-Perth//Business Class//709.19999999999993,1,2,Nut Free
2024-11-25//PA003//London-Perth//Economy//2155,1,2,Nut Free
2024-05-10//PA010//Tokyo-New York//Economy//1820,0,2,Dairy Free
2024-06-10//PA001//London-New York//Premium Economy//665,1,0,None
2024-10-20//PA001//London-New York//Business Class//451.19999999999999,1,2,Dairy Free
2024-03-19//PA012//Tokyo-Perth//Economy//2145,0,1,Vegan
2024-10-30//PA011//Perth-Tokyo//Economy//2500,0,1,Dairy Free
2024-07-05//PA004//Perth-London//Premium Economy//1242.5,0,0,Vegan
2024-04-20//PA009//New York-Tokyo//Economy//2535,0,2,Nut Free
2024-04-16//PA009//New York-Tokyo//Business Class//282,1,2,Vegan
2024-12-26//PA006//Tokyo-London//Economy//2395,1,0,Dairy Free
2024-11-28//PA009//New York-Tokyo//Business Class//240,0,3,Dairy Free
2024-03-26//PA011//Perth-Tokyo//First Class//645,1,3,Egg Free
2024-06-23//PA007//New York-Perth//First Class//666,1,1,Egg Free
2024-08-16//PA011//Perth-Tokyo//Economy//1810,0,3,Vegetarian
2024-12-29//PA005//London-Tokyo//Business Class//745.19999999999993,0,0,Vegetarian
2024-09-09//PA012//Tokyo-Perth//Business Class//265.19999999999999,1,1,None
2024-06-01//PA012//Tokyo-Perth//First Class//368,0,0,Dairy Free
2024-08-15//PA006//Tokyo-London//Economy//1515,1,0,Egg Free
2024-09-09//PA009//New York-Tokyo//Premium Economy//1557.5,1,1,Dairy Free
2024-04-07//PA003//London-Perth//Premium Economy//1727.5,1,1,None
2024-04-30//PA009//New York-Tokyo//Economy//1220,1,3,Vegetarian
2024-08-26//PA009//New York-Tokyo//Premium Economy//1452.5,0,3,None
2024-10-28//PA010//Tokyo-New York//Business Class//796.79999999999995,1,2,Dairy Free
2024-05-25//PA006//Tokyo-London//First Class//336,0,2,Dairy Free
2024-11-11//PA001//London-New York//Premium Economy//1680,0,3,Vegan
2024-04-16//PA008//Perth-New York//Economy//2235,1,1,Egg Free
2024-04-04//PA010//Tokyo-New York//First Class//266,0,1,Dairy Free
2024-10-24//PA003//London-Perth//Economy//3235,0,2,Nut Free
2024-06-27//PA011//Perth-Tokyo//First Class//358,0,0,Vegan
2024-08-08//PA011//Perth-Tokyo//Business Class//258,0,3,Egg Free
2024-08-27//PA003//London-Perth//First Class//694,1,0,Dairy Free
2024-02-06//PA012//Tokyo-Perth//Premium Economy//570,1,2,Dairy Free
2024-08-10//PA011//Perth-Tokyo//Premium Economy//1512.5,0,0,Nut Free
2024-05-13//PA009//New York-Tokyo//Premium Economy//1160,0,3,None
2024-09-03//PA009//New York-Tokyo//Premium Economy//840,1,0,Nut Free
2024-12-31//PA002//New York-London//Premium Economy//677.5,1,3,Nut Free
2024-04-05//PA012//Tokyo-Perth//First Class//336,0,1,Nut Free
2024-06-22//PA007//New York-Perth//Premium Economy//1127.5,0,1,Egg Free
2024-09-13//PA001//London-New York//Economy//2270,0,3,Vegan
2024-08-28//PA003//London-Perth//Premium Economy//505,1,3,None
2024-10-23//PA001//London-New York//Economy//1155,1,1,Egg Free
2024-02-26//PA002//New York-London//Premium Economy//1382.5,0,3,Vegan
2024-04-03//PA008//Perth-New York//First Class//548,0,3,Vegan
2024-06-06//PA004//Perth-London//Economy//3120,0,3,Egg Free
2024-10-02//PA011//Perth-Tokyo//Business Class//679.19999999999993,1,3,Nut Free
2024-04-01//PA008//Perth-New York//Premium Economy//1530,1,1,Vegetarian
2024-05-09//PA002//New York-London//Economy//2585,1,1,Egg Free
2024-04-25//PA006//Tokyo-London//Economy//1650,1,3,Egg Free
2024-12-27//PA001//London-New York//Economy//1390,0,3,Vegetarian
2024-04-18//PA005//London-Tokyo//Premium Economy//927.5,0,3,Nut Free
2024-05-03//PA011//Perth-Tokyo//Business Class//627.60000000000002,1,2,Egg Free
2024-06-20//PA001//London-New York//First Class//456,1,3,Vegetarian
2024-03-16//PA009//New York-Tokyo//Economy//1235,0,0,Vegan
2024-10-09//PA012//Tokyo-Perth//Premium Economy//980,1,1,Egg Free
2024-06-07//PA008//Perth-New York//Business Class//735.60000000000002,0,1,Dairy Free
2024-08-26//PA007//New York-Perth//Economy//3360,0,3,Vegetarian
2024-12-13//PA006//Tokyo-London//Economy//2715,0,0,Egg Free
2024-09-23//PA001//London-New York//Economy//2400,0,1,None
2024-05-06//PA006//Tokyo-London//Premium Economy//832.5,1,3,Egg Free
2024-08-05//PA007//New York-Perth//Economy//1765,1,1,Vegetarian
2024-10-19//PA002//New York-London//Premium Economy//650,1,1,Vegan
2024-07-09//PA009//New York-Tokyo//Economy//1815,0,3,Nut Free
2024-10-03//PA007//New York-Perth//First Class//694,1,3,Nut Free
2024-08-24//PA006//Tokyo-London//Premium Economy//1447.5,1,3,None
2024-06-15//PA003//London-Perth//Economy//2600,0,0,Vegan
2024-10-13//PA012//Tokyo-Perth//Premium Economy//1092.5,0,2,Nut Free
2024-11-19//PA005//London-Tokyo//First Class//238,1,0,Vegetarian
2024-12-11//PA010//Tokyo-New York//Premium Economy//1572.5,0,0,None
2024-06-19//PA006//Tokyo-London//Economy//1705,1,2,Dairy Free
2024-12-31//PA010//Tokyo-New York//Economy//1355,0,3,Nut Free
2024-09-11//PA004//Perth-London//Premium Economy//922.5,1,2,Vegetarian
2024-07-18//PA008//Perth-New York//First Class//395,1,2,Dairy Free
2024-05-03//PA001//London-New York//First Class//567,1,2,Vegan
2024-02-07//PA009//New York-Tokyo//Business Class//421.19999999999999,1,0,Vegetarian
2024-08-06//PA002//New York-London//Business Class//586.79999999999995,1,1,Vegetarian
2024-12-13//PA009//New York-Tokyo//Business Class//604.79999999999995,1,1,Vegan
2024-06-10//PA002//New York-London//Business Class//642,0,0,Vegan
2024-07-04//PA007//New York-Perth//Premium Economy//1080,1,3,Vegan
2024-07-01//PA004//Perth-London//Economy//1235,1,1,Vegan
2024-11-11//PA006//Tokyo-London//First Class//565,0,2,Dairy Free
2024-09-14//PA008//Perth-New York//Premium Economy//1070,0,0,Vegetarian
2024-08-13//PA011//Perth-Tokyo//Business Class//768,1,3,Nut Free
2024-12-16//PA002//New York-London//Premium Economy//620,1,2,Egg Free
2024-07-05//PA011//Perth-Tokyo//Economy//2490,0,2,Nut Free
2024-02-28//PA006//Tokyo-London//Economy//1695,1,0,Dairy Free
2024-11-19//PA002//New York-London//Business Class//375.59999999999997,1,0,Nut Free
2024-02-27//PA009//New York-Tokyo//Business Class//369.59999999999997,1,1,Dairy Free
2024-02-08//PA006//Tokyo-London//Economy//1310,1,1,Dairy Free
2024-02-14//PA010//Tokyo-New York//Premium Economy//1107.5,1,1,Vegetarian
2024-08-15//PA012//Tokyo-Perth//Business Class//507.59999999999997,1,1,Vegan
2024-03-07//PA001//London-New York//Economy//2960,1,1,Egg Free
2024-10-30//PA010//Tokyo-New York//Business Class//402,1,2,Nut Free
2024-05-01//PA002//New York-London//First Class//277,1,3,Dairy Free
2024-12-03//PA011//Perth-Tokyo//Economy//2195,0,3,Vegetarian
2024-12-26//PA008//Perth-New York//Business Class//475.19999999999999,1,1,Vegan
2024-07-25//PA012//Tokyo-Perth//Economy//3115,1,2,None
2024-09-25//PA001//London-New York//Premium Economy//1375,0,2,None
2024-09-07//PA009//New York-Tokyo//Economy//3310,1,0,Vegetarian
2024-07-20//PA009//New York-Tokyo//First Class//470,0,3,None
2024-10-25//PA001//London-New York//First Class//633,0,1,Vegetarian
2024-07-22//PA006//Tokyo-London//Premium Economy//602.5,1,2,None
2024-03-14//PA005//London-Tokyo//Premium Economy//1457.5,1,3,Dairy Free
2024-08-27//PA007//New York-Perth//Business Class//726,1,3,Dairy Free
2024-04-08//PA002//New York-London//Business Class//752.39999999999998,0,0,Dairy Free
2024-03-16//PA012//Tokyo-Perth//First Class//618,0,2,Vegan
2024-08-05//PA012//Tokyo-Perth//Economy//3475,0,1,None
2024-08-29//PA006//Tokyo-London//Premium Economy//670,0,2,Egg Free
2024-06-13//PA007//New York-Perth//Business Class//402,0,1,Vegetarian
2024-11-06//PA011//Perth-Tokyo//Business Class//271.19999999999999,0,0,Nut Free
2024-05-04//PA005//London-Tokyo//Economy//1205,0,0,Nut Free
2024-09-23//PA009//New York-Tokyo//Premium Economy//1275,1,2,Nut Free
2024-02-28//PA007//New York-Perth//Business Class//645.60000000000002,0,0,None
2024-07-27//PA012//Tokyo-Perth//Business Class//466.79999999999995,0,3,Nut Free
2024-10-10//PA002//New York-London//Economy//3000,1,1,Vegan
2024-11-27//PA011//Perth-Tokyo//Economy//1210,0,2,Vegetarian
2024-08-20//PA006//Tokyo-London//Business Class//504,0,0,Egg Free
2024-06-12//PA009//New York-Tokyo//Premium Economy//1715,1,0,Vegan
2024-11-30//PA002//New York-London//Premium Economy//1327.5,0,0,Vegetarian
2024-08-31//PA004//Perth-London//First Class//599,1,0,Egg Free
2024-04-14//PA007//New York-Perth//Economy//2650,0,1,Vegan
2024-04-10//PA003//London-Perth//First Class//376,0,3,Dairy Free
2024-03-29//PA007//New York-Perth//Business Class//730.79999999999995,0,0,Vegetarian
2024-01-28//PA001//London-New York//Premium Economy//1395,1,0,Vegetarian
2024-05-26//PA003//London-Perth//Economy//2455,1,3,Dairy Free
2024-08-28//PA004//Perth-London//Economy//3050,1,3,Egg Free
2024-01-03//PA011//Perth-Tokyo//Economy//3500,1,2,Nut Free
2024-06-12//PA008//Perth-New York//Business Class//820.79999999999995,0,2,None
2024-12-23//PA006//Tokyo-London//Business Class//480,1,2,Dairy Free
2024-01-26//PA011//Perth-Tokyo//Premium Economy//1627.5,0,3,Egg Free
2024-06-13//PA005//London-Tokyo//Economy//3045,0,1,Vegetarian
2024-09-02//PA006//Tokyo-London//Economy//1265,0,0,Nut Free
2024-11-10//PA007//New York-Perth//Premium Economy//1070,1,3,Vegetarian
2024-01-12//PA009//New York-Tokyo//Premium Economy//1230,0,0,Vegan
2024-03-26//PA003//London-Perth//Business Class//508.79999999999995,1,1,Dairy Free
2024-12-14//PA011//Perth-Tokyo//Premium Economy//1310,1,3,Vegetarian
2024-02-06//PA003//London-Perth//Business Class//742.79999999999995,0,3,None
2024-07-10//PA005//London-Tokyo//Business Class//787.19999999999993,1,3,Dairy Free
2024-03-20//PA009//New York-Tokyo//Premium Economy//722.5,0,0,Vegan
2024-10-31//PA002//New York-London//First Class//275,1,1,Nut Free
2024-04-23//PA003//London-Perth//Economy//1915,0,1,Nut Free
2024-05-14//PA008//Perth-New York//Premium Economy//1477.5,1,1,Nut Free
2024-02-03//PA004//Perth-London//Economy//2150,0,0,Nut Free
2024-01-11//PA005//London-Tokyo//Premium Economy//542.5,0,1,None
2024-12-03//PA012//Tokyo-Perth//First Class//681,0,1,Egg Free
2024-10-21//PA008//Perth-New York//Business Class//793.19999999999993,0,0,Vegetarian
2024-02-11//PA012//Tokyo-Perth//First Class//453,0,3,None
2024-04-04//PA009//New York-Tokyo//Economy//3175,1,0,Vegetarian
2024-09-01//PA006//Tokyo-London//Economy//2645,0,1,Nut Free
2024-01-26//PA001//London-New York//Economy//1185,0,0,Dairy Free
2024-10-29//PA002//New York-London//Premium Economy//1627.5,0,0,Nut Free
2024-06-20//PA006//Tokyo-London//First Class//200,1,2,Dairy Free
2024-02-13//PA004//Perth-London//Premium Economy//752.5,1,0,None
2024-06-27//PA012//Tokyo-Perth//Premium Economy//1260,0,3,Egg Free
2024-05-14//PA006//Tokyo-London//Premium Economy//990,1,2,Egg Free
2024-04-10//PA007//New York-Perth//Economy//1935,0,2,Egg Free
2024-04-16//PA007//New York-Perth//First Class//425,0,0,Egg Free
2024-08-02//PA003//London-Perth//Business Class//273.59999999999997,0,0,Dairy Free
2024-09-08//PA012//Tokyo-Perth//First Class//389,0,0,Egg Free
2024-09-15//PA001//London-New York//Business Class//392.39999999999998,0,1,Dairy Free
2024-01-04//PA010//Tokyo-New York//Economy//2495,0,0,Vegetarian
2024-04-24//PA008//Perth-New York//Business Class//532.79999999999995,0,3,Egg Free
2024-08-27//PA001//London-New York//First Class//421,0,2,Nut Free
2024-10-29//PA001//London-New York//First Class//216,1,0,Nut Free
2024-04-23//PA001//London-New York//Business Class//246,0,3,None
2024-08-07//PA006//Tokyo-London//Premium Economy//607.5,0,3,Egg Free
2024-12-09//PA009//New York-Tokyo//Economy//1995,0,3,Nut Free
2024-02-10//PA005//London-Tokyo//First Class//681,1,1,Vegetarian
2024-08-13//PA008//Perth-New York//First Class//506,1,2,Nut Free
2024-04-03//PA001//London-New York//Business Class//298.80000000000001,1,0,Vegan
2024-06-19//PA009//New York-Tokyo//Premium Economy//1275,1,1,None
2024-05-22//PA009//New York-Tokyo//First Class//389,0,3,None
2024-04-19//PA010//Tokyo-New York//First Class//601,0,2,Vegetarian
2024-03-07//PA009//New York-Tokyo//Business Class//332.39999999999998,1,3,Egg Free
2024-12-05//PA002//New York-London//First Class//665,0,0,Vegan
2024-08-30//PA005//London-Tokyo//Economy//3315,1,3,Nut Free
2024-06-03//PA002//New York-London//Economy//1230,1,0,Vegetarian
2024-07-28//PA006//Tokyo-London//Premium Economy//1180,0,3,Vegetarian
2024-07-11//PA009//New York-Tokyo//Premium Economy//1402.5,0,1,Vegan
2024-02-25//PA002//New York-London//Economy//1690,0,1,Egg Free
2024-12-16//PA010//Tokyo-New York//Business Class//331.19999999999999,0,2,None
2024-10-01//PA002//New York-London//Economy//2415,1,0,Vegan
2024-04-24//PA012//Tokyo-Perth//Premium Economy//535,1,2,Vegan
2024-06-20//PA001//London-New York//Premium Economy//930,1,0,Vegan
2024-10-09//PA003//London-Perth//Economy//3415,1,3,Vegetarian
2024-10-20//PA005//London-Tokyo//First Class//514,1,1,Nut Free
2024-02-15//PA009//New York-Tokyo//Economy//2980,1,0,None
2024-04-14//PA004//Perth-London//Economy//1315,0,1,Vegan
2024-11-30//PA002//New York-London//Business Class//634.79999999999995,0,1,Vegan
2024-01-15//PA008//Perth-New York//Business Class//502.79999999999995,1,3,Vegan
2024-05-14//PA012//Tokyo-Perth//Business Class//811.19999999999993,0,1,None
2024-08-16//PA010//Tokyo-New York//Economy//3265,1,2,Vegetarian
2024-08-02//PA008//Perth-New York//Premium Economy//1550,1,1,Dairy Free
2024-06-06//PA011//Perth-Tokyo//Economy//1000,0,1,Vegan
2024-07-13//PA005//London-Tokyo//Economy//1480,1,1,Vegetarian
2024-01-27//PA002//New York-London//Business Class//489.59999999999997,1,1,None
2024-02-28//PA010//Tokyo-New York//Economy//1105,0,0,Nut Free
2024-09-19//PA002//New York-London//Premium Economy//635,1,1,Vegetarian
2024-03-09//PA004//Perth-London//Economy//2160,0,3,Vegan
2024-01-26//PA009//New York-Tokyo//Economy//3150,0,0,Dairy Free
2024-08-16//PA007//New York-Perth//Premium Economy//757.5,1,3,Egg Free
2024-10-15//PA009//New York-Tokyo//Premium Economy//870,1,0,Dairy Free
2024-03-12//PA007//New York-Perth//Business Class//434.39999999999998,1,1,Nut Free
2024-07-17//PA001//London-New York//First Class//210,0,1,Vegetarian
2024-08-19//PA007//New York-Perth//Premium Economy//862.5,0,1,Vegan
2024-01-02//PA011//Perth-Tokyo//First Class//495,0,0,Dairy Free
2024-04-15//PA003//London-Perth//Business Class//249.59999999999999,1,3,Egg Free
2024-05-13//PA004//Perth-London//Economy//2785,1,3,Vegan
2024-11-24//PA010//Tokyo-New York//Premium Economy//1155,0,2,None
2024-02-22//PA011//Perth-Tokyo//Business Class//534,0,2,Nut Free
2024-08-30//PA005//London-Tokyo//Business Class//811.19999999999993,1,3,Vegan
2024-12-25//PA012//Tokyo-Perth//First Class//506,0,3,Nut Free
2024-10-01//PA004//Perth-London//First Class//510,1,1,Vegetarian
2024-09-21//PA008//Perth-New York//Business Class//445.19999999999999,0,2,None
2024-05-19//PA010//Tokyo-New York//Premium Economy//1555,1,2,Egg Free
2024-05-27//PA004//Perth-London//Economy//3020,0,2,Vegan
2024-06-01//PA009//New York-Tokyo//First Class//274,1,3,Vegetarian
2024-10-30//PA008//Perth-New York//Business Class//423.59999999999997,0,3,Dairy Free
2024-05-11//PA005//London-Tokyo//Business Class//706.79999999999995,1,1,Egg Free
2024-05-03//PA012//Tokyo-Perth//Economy//1395,0,0,Vegan
2024-09-12//PA008//Perth-New York//Economy//1315,1,0,Dairy Free
2024-03-29//PA001//London-New York//First Class//208,0,2,Nut Free
2024-08-23//PA011//Perth-Tokyo//Economy//1160,1,1,Dairy Free
2024-10-25//PA010//Tokyo-New York//Business Class//382.80000000000001,0,0,Vegan
2024-09-23//PA012//Tokyo-Perth//Economy//3495,1,0,Egg Free
2024-08-07//PA004//Perth-London//Premium Economy//710,0,1,Dairy Free
2024-07-27//PA003//London-Perth//Premium Economy//1232.5,1,1,None
2024-07-13//PA005//London-Tokyo//Premium Economy//927.5,0,3,Nut Free
2024-11-22//PA001//London-New York//Economy//1030,1,1,None
2024-05-29//PA010//Tokyo-New York//Economy//2765,1,3,Dairy Free
2024-05-20//PA004//Perth-London//Business Class//807.60000000000002,0,0,Nut Free
2024-09-19//PA012//Tokyo-Perth//Premium Economy//717.5,0,0,Egg Free
2024-02-04//PA008//Perth-New York//Economy//1295,1,2,Egg Free
2024-11-10//PA011//Perth-Tokyo//First Class//266,0,1,Vegetarian
2024-12-17//PA011//Perth-Tokyo//Business Class//272.39999999999998,0,3,Egg Free
2024-11-10//PA007//New York-Perth//Business Class//646.79999999999995,0,2,Egg Free
2024-04-21//PA003//London-Perth//First Class//594,0,3,Nut Free
2024-01-18//PA005//London-Tokyo//First Class//649,0,0,None
2024-09-10//PA012//Tokyo-Perth//Business Class//420,1,2,Nut Free
2024-04-30//PA011//Perth-Tokyo//First Class//693,0,2,Vegan
2024-12-21//PA002//New York-London//Business Class//379.19999999999999,1,0,Dairy Free
2024-12-25//PA003//London-Perth//First Class//473,1,0,None
2024-12-06//PA003//London-Perth//First Class//436,0,0,None
2024-02-11//PA005//London-Tokyo//First Class//427,0,0,Nut Free
2024-05-19//PA011//Perth-Tokyo//First Class//660,0,2,Dairy Free
2024-07-15//PA011//Perth-Tokyo//Premium Economy//1670,1,1,Vegan
2024-12-09//PA003//London-Perth//First Class//602,1,2,Egg Free
2024-01-23//PA010//Tokyo-New York//Business Class//554.39999999999998,0,0,Vegan
2024-10-07//PA006//Tokyo-London//Premium Economy//1572.5,0,1,Nut Free
2024-09-20//PA010//Tokyo-New York//First Class//214,1,3,Dairy Free
2024-07-02//PA007//New York-Perth//Business Class//338.39999999999998,0,0,Egg Free
2024-03-13//PA008//Perth-New York//Premium Economy//662.5,0,2,None
2024-07-22//PA010//Tokyo-New York//Premium Economy//1540,0,0,Dairy Free
2024-05-07//PA012//Tokyo-Perth//Business Class//609.60000000000002,0,3,Egg Free
2024-06-10//PA011//Perth-Tokyo//Premium Economy//1260,0,0,Vegan
